"PACIFIC Exchange Rate Service"
"ISO4217","Jul.Day","YYYY/MM/DD","Wdy","Data"
"CAD/USD",2460103,"2023/06/07","Wed",1.3376
"CAD/USD",2460104,"2023/06/08","Thu",1.3358
"CAD/USD",2460105,"2023/06/09","Fri",1.3341
"CAD/USD",2460108,"2023/06/12","Mon",1.3366
"CAD/USD",2460109,"2023/06/13","Tue",1.3310
"CAD/USD",2460110,"2023/06/14","Wed",1.3297
"CAD/USD",2460111,"2023/06/15","Thu",1.3252
"CAD/USD",2460112,"2023/06/16","Fri",1.3198
"CAD/USD",2460115,"2023/06/19","Mon",1.3206
"CAD/USD",2460116,"2023/06/20","Tue",1.3241
"CAD/USD",2460117,"2023/06/21","Wed",1.3183
"CAD/USD",2460118,"2023/06/22","Thu",1.3160
"CAD/USD",2460119,"2023/06/23","Fri",1.3199
"CAD/USD",2460122,"2023/06/26","Mon",1.3151
"CAD/USD",2460123,"2023/06/27","Tue",1.3175
"CAD/USD",2460124,"2023/06/28","Wed",1.3254
"CAD/USD",2460125,"2023/06/29","Thu",1.3255
"CAD/USD",2460126,"2023/06/30","Fri",1.3240
"CAD/USD",2460130,"2023/07/04","Tue",1.3219
"CAD/USD",2460131,"2023/07/05","Wed",1.3273
"CAD/USD",2460132,"2023/07/06","Thu",1.3348
"CAD/USD",2460133,"2023/07/07","Fri",1.3293
"CAD/USD",2460136,"2023/07/10","Mon",1.3284
"CAD/USD",2460137,"2023/07/11","Tue",1.3260
"CAD/USD",2460138,"2023/07/12","Wed",1.3188
"CAD/USD",2460139,"2023/07/13","Thu",1.3128
"CAD/USD",2460140,"2023/07/14","Fri",1.3183
"CAD/USD",2460143,"2023/07/17","Mon",1.3187
"CAD/USD",2460144,"2023/07/18","Tue",1.3190
"CAD/USD",2460145,"2023/07/19","Wed",1.3170
"CAD/USD",2460146,"2023/07/20","Thu",1.3171
"CAD/USD",2460147,"2023/07/21","Fri",1.3212
"CAD/USD",2460150,"2023/07/24","Mon",1.3172
"CAD/USD",2460151,"2023/07/25","Tue",1.3184
"CAD/USD",2460152,"2023/07/26","Wed",1.3220
"CAD/USD",2460153,"2023/07/27","Thu",1.3201
"CAD/USD",2460154,"2023/07/28","Fri",1.3232
"CAD/USD",2460157,"2023/07/31","Mon",1.3177
"CAD/USD",2460158,"2023/08/01","Tue",1.3291
"CAD/USD",2460159,"2023/08/02","Wed",1.3335
"CAD/USD",2460160,"2023/08/03","Thu",1.3351
"CAD/USD",2460161,"2023/08/04","Fri",1.3355
"CAD/USD",2460165,"2023/08/08","Tue",1.3456
"CAD/USD",2460166,"2023/08/09","Wed",1.3431
"CAD/USD",2460167,"2023/08/10","Thu",1.3409
"CAD/USD",2460168,"2023/08/11","Fri",1.3443
"CAD/USD",2460171,"2023/08/14","Mon",1.3461
"CAD/USD",2460172,"2023/08/15","Tue",1.3482
"CAD/USD",2460173,"2023/08/16","Wed",1.3518
"CAD/USD",2460174,"2023/08/17","Thu",1.3524
"CAD/USD",2460175,"2023/08/18","Fri",1.3552
"CAD/USD",2460178,"2023/08/21","Mon",1.3543
"CAD/USD",2460179,"2023/08/22","Tue",1.3549
"CAD/USD",2460180,"2023/08/23","Wed",1.3552
"CAD/USD",2460181,"2023/08/24","Thu",1.3565
"CAD/USD",2460182,"2023/08/25","Fri",1.3606
"CAD/USD",2460185,"2023/08/28","Mon",1.3596
"CAD/USD",2460186,"2023/08/29","Tue",1.3593
